customer_id,registration_date,country,age_group,gender,acquisition_channel,email_subscribed,total_orders,lifetime_value
1000,2025-06-30 17:44:21.717913,Japan,46-55,F,Direct,False,2,284.02
1001,2025-03-18 17:44:21.717913,Australia,26-35,M,Google Ads,True,3,227.6
1002,2025-06-06 17:44:21.717913,Germany,18-25,Other,Facebook Ads,True,4,678.84
1003,2025-02-20 17:44:21.717913,Japan,55+,M,Google Ads,True,3,791.83
1004,2025-02-19 17:44:21.717913,Germany,18-25,F,Email Marketing,True,3,558.61
1005,2025-06-17 17:44:21.717913,US,55+,F,Email Marketing,False,6,314.7
1006,2025-05-11 17:44:21.717913,Australia,18-25,M,Facebook Ads,True,3,215.43
1007,2025-05-13 17:44:21.717913,US,18-25,F,Email Marketing,False,3,121.3
1008,2025-03-17 17:44:21.717913,Canada,36-45,F,Google Ads,True,4,588.02
1009,2025-07-04 17:44:21.717913,Australia,36-45,M,Organic Search,True,2,704.59
1010,2025-03-28 17:44:21.717913,Canada,36-45,M,Email Marketing,True,4,480.96
1011,2025-03-19 17:44:21.717913,UK,55+,F,Affiliate,True,4,387.56
1012,2025-03-23 17:44:21.717913,Australia,36-45,F,Google Ads,True,4,709.35
1013,2025-06-19 17:44:21.717913,Germany,26-35,F,Direct,True,2,448.24
1014,2025-03-26 17:44:21.717913,US,55+,F,Direct,True,3,311.51
1015,2025-03-03 17:44:21.717913,Japan,18-25,M,Affiliate,True,5,285.16
1016,2025-05-06 17:44:21.717913,Canada,26-35,M,Affiliate,False,3,649.9
1017,2025-04-27 17:44:21.717913,France,36-45,M,Organic Search,False,7,478.5
1018,2025-06-04 17:44:21.717913,Australia,36-45,M,Affiliate,True,6,278.61
1019,2025-08-02 17:44:21.717913,Japan,26-35,M,Google Ads,False,3,671.14
1020,2025-06-28 17:44:21.717913,UK,55+,M,Facebook Ads,True,7,230.5
1021,2025-06-29 17:44:21.717913,Japan,55+,M,Email Marketing,False,3,647.15
1022,2025-04-21 17:44:21.717913,Japan,18-25,M,Facebook Ads,False,5,658.22
1023,2025-05-08 17:44:21.717913,Australia,26-35,M,Google Ads,False,4,204.37
1024,2025-02-17 17:44:21.717913,UK,55+,M,Affiliate,False,4,457.08
1025,2025-06-01 17:44:21.717913,Japan,26-35,M,Direct,True,4,535.27
1026,2025-06-09 17:44:21.717913,Japan,26-35,F,Facebook Ads,True,3,529.28
1027,2025-03-24 17:44:21.717913,UK,26-35,M,Email Marketing,False,1,260.85
1028,2025-03-27 17:44:21.717913,US,26-35,M,Affiliate,False,3,401.38
1029,2025-07-06 17:44:21.717913,Australia,26-35,M,Google Ads,False,7,282.1
1030,2025-06-03 17:44:21.717913,Japan,46-55,F,Affiliate,False,2,242.17
1031,2025-04-15 17:44:21.717913,France,18-25,F,Google Ads,True,8,382.85
1032,2025-04-01 17:44:21.717913,Germany,36-45,M,Affiliate,True,6,725.06
1033,2025-05-17 17:44:21.717913,Germany,46-55,M,Affiliate,True,1,556.52
1034,2025-03-08 17:44:21.717913,Canada,18-25,M,Organic Search,False,8,563.62
1035,2025-05-08 17:44:21.717913,Germany,36-45,M,Direct,True,3,222.52
1036,2025-05-26 17:44:21.717913,Japan,55+,M,Email Marketing,True,5,367.56
1037,2025-03-15 17:44:21.717913,Australia,26-35,F,Facebook Ads,False,3,69.6
1038,2025-06-15 17:44:21.717913,Australia,18-25,M,Organic Search,True,5,634.08
1039,2025-03-15 17:44:21.717913,Japan,26-35,F,Direct,False,3,591.71
1040,2025-05-27 17:44:21.717913,Canada,26-35,F,Facebook Ads,False,5,722.02
1041,2025-04-25 17:44:21.717913,Australia,26-35,F,Affiliate,False,3,790.01
1042,2025-02-19 17:44:21.717913,Germany,46-55,F,Email Marketing,False,3,433.27
1043,2025-03-30 17:44:21.717913,UK,46-55,F,Organic Search,True,3,621.83
1044,2025-06-09 17:44:21.717913,UK,18-25,M,Email Marketing,False,3,125.51
1045,2025-07-01 17:44:21.717913,Japan,26-35,F,Facebook Ads,True,2,784.38
1046,2025-08-02 17:44:21.717913,US,36-45,F,Email Marketing,False,4,784.17
1047,2025-03-19 17:44:21.717913,US,26-35,F,Affiliate,True,6,370.88
1048,2025-04-25 17:44:21.717913,France,46-55,M,Affiliate,True,2,179.58
1049,2025-07-24 17:44:21.717913,UK,36-45,F,Google Ads,True,7,352.6
1050,2025-02-22 17:44:21.717913,UK,55+,M,Organic Search,False,2,501.81
1051,2025-07-30 17:44:21.717913,UK,55+,M,Email Marketing,True,2,558.85
1052,2025-07-13 17:44:21.717913,France,18-25,F,Organic Search,True,8,601.77
1053,2025-04-22 17:44:21.717913,Canada,18-25,F,Google Ads,True,3,171.07
1054,2025-05-25 17:44:21.717913,Canada,18-25,F,Direct,True,5,55.38
1055,2025-05-31 17:44:21.717913,Japan,55+,M,Facebook Ads,False,7,525.02
1056,2025-07-14 17:44:21.717913,Germany,46-55,F,Affiliate,True,5,125.55
1057,2025-04-07 17:44:21.717913,US,55+,M,Facebook Ads,True,6,728.52
1058,2025-04-15 17:44:21.717913,Germany,46-55,F,Affiliate,False,6,91.41
1059,2025-07-04 17:44:21.717913,Canada,46-55,F,Direct,False,5,644.91
1060,2025-04-10 17:44:21.717913,US,55+,F,Affiliate,True,3,782.06
1061,2025-03-05 17:44:21.717913,UK,55+,F,Organic Search,True,4,737.46
1062,2025-04-06 17:44:21.717913,UK,26-35,M,Direct,False,3,592.59
1063,2025-03-16 17:44:21.717913,UK,18-25,M,Affiliate,True,5,572.65
1064,2025-03-19 17:44:21.717913,Australia,26-35,M,Email Marketing,False,8,719.46
1065,2025-04-19 17:44:21.717913,Canada,26-35,F,Google Ads,True,2,560.8
