order_id,date,country,product_category,order_value,quantity,customer_type,payment_method,shipping_cost,delivery_days
1,2025-02-05 17:44:21.717913,Australia,Contact Lenses,46.76,1,New,Credit Card,10.77,13
2,2025-02-05 17:44:21.717913,Australia,Contact Lenses,60.62,1,Returning,Credit Card,11.54,7
3,2025-02-05 17:44:21.717913,Canada,Sunglasses,46.42,2,Returning,Credit Card,12.75,13
4,2025-02-05 17:44:21.717913,Germany,Safety Glasses,85.55,1,Returning,PayPal,7.98,8
5,2025-02-05 17:44:21.717913,Canada,Contact Lenses,47.45,2,New,PayPal,6.85,7
6,2025-02-05 17:44:21.717913,France,Sunglasses,170.68,2,Returning,Credit Card,24.97,3
7,2025-02-05 17:44:21.717913,Japan,Contact Lenses,61.11,2,Returning,Credit Card,6.18,9
8,2025-02-05 17:44:21.717913,UK,Contact Lenses,41.64,1,New,Credit Card,15.97,10
9,2025-02-05 17:44:21.717913,Australia,Prescription Glasses,157.2,3,New,Bank Transfer,14.88,5
10,2025-02-05 17:44:21.717913,Japan,Safety Glasses,81.36,1,Returning,Bank Transfer,19.77,9
11,2025-02-05 17:44:21.717913,Australia,Safety Glasses,108.03,3,Returning,Credit Card,10.47,4
12,2025-02-05 17:44:21.717913,Australia,Safety Glasses,58.22,1,Returning,Credit Card,9.51,11
13,2025-02-05 17:44:21.717913,Japan,Contact Lenses,49.77,3,Returning,Credit Card,7.59,10
14,2025-02-05 17:44:21.717913,France,Safety Glasses,81.2,1,Returning,Credit Card,16.15,8
15,2025-02-05 17:44:21.717913,Germany,Safety Glasses,77.15,1,New,Credit Card,9.04,3
16,2025-02-05 17:44:21.717913,US,Prescription Glasses,128.66,1,New,Credit Card,13.9,10
17,2025-02-05 17:44:21.717913,Australia,Prescription Glasses,278.57,1,Returning,PayPal,15.93,8
18,2025-02-05 17:44:21.717913,Germany,Prescription Glasses,197.01,2,New,Credit Card,15.15,10
19,2025-02-05 17:44:21.717913,Germany,Prescription Glasses,214.51,2,New,PayPal,20.33,5
20,2025-02-05 17:44:21.717913,Canada,Reading Glasses,53.65,1,Returning,Credit Card,21.3,12
21,2025-02-05 17:44:21.717913,US,Reading Glasses,42.51,1,New,Credit Card,22.67,14
22,2025-02-05 17:44:21.717913,France,Sunglasses,86.03,2,New,Bank Transfer,10.59,3
23,2025-02-05 17:44:21.717913,France,Safety Glasses,104.21,2,New,Credit Card,10.07,3
24,2025-02-05 17:44:21.717913,US,Contact Lenses,33.5,1,New,PayPal,6.29,5
25,2025-02-05 17:44:21.717913,Japan,Prescription Glasses,120.67,2,Returning,PayPal,24.27,4
26,2025-02-05 17:44:21.717913,UK,Safety Glasses,75.42,2,Returning,Credit Card,13.97,14
27,2025-02-05 17:44:21.717913,Japan,Contact Lenses,58.53,1,New,PayPal,9.41,14
28,2025-02-05 17:44:21.717913,UK,Contact Lenses,47.68,1,Returning,Credit Card,8.9,14
29,2025-02-05 17:44:21.717913,Germany,Reading Glasses,33.25,1,Returning,Credit Card,11.44,3
30,2025-02-05 17:44:21.717913,Germany,Contact Lenses,26.12,1,Returning,Credit Card,21.75,13
31,2025-02-05 17:44:21.717913,France,Contact Lenses,46.46,1,New,Credit Card,10.79,7
32,2025-02-05 17:44:21.717913,US,Contact Lenses,58.76,1,New,Bank Transfer,8.24,12
33,2025-02-05 17:44:21.717913,Japan,Safety Glasses,122.82,1,New,PayPal,8.77,5
34,2025-02-05 17:44:21.717913,France,Safety Glasses,91.28,1,Returning,Credit Card,24.93,4
35,2025-02-05 17:44:21.717913,Canada,Reading Glasses,19.01,1,New,Credit Card,10.25,3
36,2025-02-05 17:44:21.717913,Canada,Prescription Glasses,200.47,1,Returning,Credit Card,7.74,12
37,2025-02-05 17:44:21.717913,Canada,Contact Lenses,68.64,1,Returning,Credit Card,11.11,3
38,2025-02-05 17:44:21.717913,Japan,Safety Glasses,62.6,1,New,Credit Card,18.94,3
39,2025-02-05 17:44:21.717913,Germany,Sunglasses,74.9,2,New,PayPal,17.25,9
40,2025-02-05 17:44:21.717913,Japan,Contact Lenses,79.59,2,Returning,Credit Card,9.86,8
41,2025-02-05 17:44:21.717913,Japan,Sunglasses,169.89,1,Returning,PayPal,18.32,7
42,2025-02-05 17:44:21.717913,US,Sunglasses,199.86,2,New,Credit Card,20.07,9
43,2025-02-05 17:44:21.717913,France,Reading Glasses,50.11,1,New,Credit Card,13.43,9
44,2025-02-05 17:44:21.717913,US,Safety Glasses,107.38,1,Returning,Credit Card,11.64,6
45,2025-02-05 17:44:21.717913,France,Safety Glasses,64.89,1,Returning,Bank Transfer,12.14,7
46,2025-02-05 17:44:21.717913,Australia,Safety Glasses,39.43,1,Returning,Credit Card,22.5,3
47,2025-02-05 17:44:21.717913,UK,Reading Glasses,19.86,3,New,Credit Card,19.47,12
48,2025-02-05 17:44:21.717913,UK,Sunglasses,80.24,1,New,Credit Card,16.58,3
49,2025-02-06 17:44:21.717913,US,Safety Glasses,114.05,3,Returning,Credit Card,20.77,3
50,2025-02-06 17:44:21.717913,Japan,Safety Glasses,51.18,1,Returning,Credit Card,20.84,13
51,2025-02-06 17:44:21.717913,Australia,Sunglasses,159.81,1,New,Credit Card,20.67,12
52,2025-02-06 17:44:21.717913,US,Reading Glasses,20.7,1,New,Credit Card,17.36,14
